iteration,cost,entropy,free_energy,num_conflicts,conflict_density,entropy_production_rate,energy_dissipation_rate,cost_change_rate,entropy_variance,energy_variance,cost_variance,entropy_autocorr,energy_autocorr,cost_autocorr,exploration_rate,conflict_persistence,phase_space_velocity,thermodynamic_efficiency,entropy_to_cost_ratio,energy_gradient,system_temperature,algorithm,seed
0,179,3.125,210.25,8,0.05555555555555555,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014172260044597706,0.0,0.0,0.017458100558659217,-0.0,31.25,F-CBS Anneal (T=10.0→0),1
1,179,3.521928094887362,214.21928094887363,10,0.06944444444444445,0.3969280948873615,-3.969280948873596,-1.6100380582501755e-14,0.039387978127727645,3.938797812772789,0.0,0.0,0.0,0.0,1.0,0.03827270232658653,0.3969280948873619,0.0,0.019675575949091407,-3.969280948873596,35.21928094887363,F-CBS Anneal (T=10.0→0),1
1,179,3.1841837197791887,210.84183719779188,10,0.06944444444444445,0.029591859889594476,-0.29591859889592204,-1.1149961686669062e-14,0.03056954312389139,3.0569543123891663,0.0,-1.0,-1.0,0.0,1.0,0.07033148443763337,0.33774437510817323,0.0,0.017788735864688206,-0.29591859889592204,31.841837197791875,F-CBS Anneal (T=10.0→0),1
2,179,3.321928094887362,212.21928094887363,10,0.06944444444444445,0.025303990955390935,-0.25303990955387645,-1.9813594780062578e-14,0.023305004721558095,2.330500472155832,0.0,-0.8818684351196894,-0.8818684351196897,0.0,1.0,0.08610874666757029,0.1377443751081735,0.0,0.018558257513337218,-0.25303990955387645,33.21928094887363,F-CBS Anneal (T=10.0→0),1
2,179,3.058813890331201,209.588138903312,9,0.0625,-0.0332372219337599,0.3323722193376159,-1.8616955711013507e-14,0.027067284875789778,2.7067284875790043,0.0,-0.7023279832434747,-0.7023279832434767,0.0,1.0,0.09889450434985048,0.2631142045561612,0.004771262368341005,0.017088345756040228,0.3323722193376159,30.588138903312,F-CBS Anneal (T=10.0→0),1
3,179,2.936260027531527,208.3626002753153,11,0.0763888888888889,-0.06272280288293341,0.6272280288293299,-8.991038136376491e-15,0.035570484690702286,3.557048469070238,0.0,-0.0722267641141678,-0.07222676411417295,0.0,1.0,0.10829600746496926,0.12255386279967384,0.0,0.016403687304645403,0.6272280288293299,29.362600275315287,F-CBS Anneal (T=10.0→0),1
3,179,2.875,207.75,8,0.05555555555555555,-0.07309664157713057,0.7309664157713031,5.703731333842699e-15,0.042743531441793284,4.274353144179338,0.0,0.2850215922749773,0.28502159227497154,0.0,1.0,0.11881253943812853,0.06126002753152715,0.01444043321299639,0.01606145251396648,0.7309664157713031,28.75,F-CBS Anneal (T=10.0→0),1
4,179,2.608694969562842,205.08694969562842,10,0.06944444444444445,-0.09351977343804817,0.9351977343804625,9.251008044126083e-15,0.06899549591015888,6.899549591015898,0.0,0.5392340718172144,0.5392340718172107,0.0,1.0,0.1288130230786948,0.26630503043715814,0.0,0.014573714913758893,0.9351977343804625,26.08694969562842,F-CBS Anneal (T=10.0→0),1
4,180,2.4464393446710155,204.46439344671015,5,0.034722222222222224,-0.10763295840339498,1.009662917367284,0.06666666666667166,0.10084565032650888,8.933875146327116,0.09876543209876544,0.7309930248041296,0.7049913984042129,0.0,1.0,0.13437562588089003,1.0130779278066604,0.024454135586708683,0.013591329692616753,1.009662917367284,24.464393446710147,F-CBS Anneal (T=10.0→0),1
5,180,2.25,202.5,4,0.027777777777777776,-0.11966183727307829,1.0996486757610886,0.09696969696969376,0.14256661049825076,12.078240482506926,0.16,0.8308793261427376,0.7992734710906597,0.6614378277661476,1.0,0.14079740544624153,0.19643934467101554,0.0049382716049382715,0.0125,1.0996486757610886,22.5,F-CBS Anneal (T=10.0→0),1
